date,merchant,amount,category,description
2025-11-12,Trader Joes,95.78,Groceries,Groceries purchase at Trader Joes
2025-11-12,Target,98.6,Groceries,Groceries purchase at Target
2025-11-13,Yoga Studio,50.6,Health & Fitness,Health & Fitness purchase at Yoga Studio
2025-11-13,Target,80.77,Groceries,Groceries purchase at Target
2025-11-13,Target,140.56,Shopping,Shopping purchase at Target
2025-11-14,Apple Store,331.64,Shopping,Shopping purchase at Apple Store
2025-11-14,Uber,23.09,Transport,Transport purchase at Uber
2025-11-14,Mariano's,66.97,Groceries,Groceries purchase at Mariano's
2025-11-16,Pizza Hut,38.07,Dining,Dining purchase at Pizza Hut
2025-11-16,McDonalds,26.88,Dining,Dining purchase at McDonalds
2025-11-17,Parking Garage,13.3,Transport,Transport purchase at Parking Garage
2025-11-17,Airbnb,548.95,Travel,Travel purchase at Airbnb
2025-11-17,Shell Gas Station,62.4,Transport,Transport purchase at Shell Gas Station
2025-11-18,Walmart,150.99,Groceries,Groceries purchase at Walmart
2025-11-19,Dave & Busters,34.3,Entertainment,Entertainment purchase at Dave & Busters
2025-11-19,Hilton Hotel,614.81,Travel,Travel purchase at Hilton Hotel
2025-11-20,Walgreens,57.46,Health & Fitness,Health & Fitness purchase at Walgreens
2025-11-20,McDonalds,64.6,Dining,Dining purchase at McDonalds
2025-11-20,Spotify Premium,27.72,Entertainment,Entertainment purchase at Spotify Premium
2025-11-20,Amazon,116.07,Shopping,Shopping purchase at Amazon
2025-11-21,Lyft,83.01,Transport,Transport purchase at Lyft
2025-11-22,Walmart,152.67,Groceries,Groceries purchase at Walmart
2025-11-22,Nike.com,111.12,Shopping,Shopping purchase at Nike.com
2025-11-23,Uber,57.82,Transport,Transport purchase at Uber
2025-11-23,Parking Garage,31.49,Transport,Transport purchase at Parking Garage
2025-11-24,H&M,309.21,Shopping,Shopping purchase at H&M
2025-11-25,Chipotle,27.32,Dining,Dining purchase at Chipotle
2025-11-26,Olive Garden,45.05,Dining,Dining purchase at Olive Garden
2025-11-26,Chevron,15.91,Transport,Transport purchase at Chevron
2025-11-26,Hertz Rental,470.11,Travel,Travel purchase at Hertz Rental
2025-11-27,Amazon,54.43,Shopping,Shopping purchase at Amazon
2025-11-29,Subway,59.78,Dining,Dining purchase at Subway
2025-11-29,GNC,85.31,Health & Fitness,Health & Fitness purchase at GNC
2025-11-29,Zara,346.27,Shopping,Shopping purchase at Zara
2025-11-30,CVS Pharmacy,58.19,Health & Fitness,Health & Fitness purchase at CVS Pharmacy
2025-11-30,Peoples Gas,119.81,Bills & Utilities,Bills & Utilities purchase at Peoples Gas
2025-11-30,Trader Joes,74.63,Groceries,Groceries purchase at Trader Joes
2025-12-01,Amazon,101.67,Shopping,Shopping purchase at Amazon
2025-12-01,LA Fitness,84.65,Health & Fitness,Health & Fitness purchase at LA Fitness
2025-12-02,Walmart,144.11,Groceries,Groceries purchase at Walmart
2025-12-04,H&M,279.53,Shopping,Shopping purchase at H&M
2025-12-04,LA Fitness,63.37,Health & Fitness,Health & Fitness purchase at LA Fitness
2025-12-06,Hulu,26.11,Entertainment,Entertainment purchase at Hulu
2025-12-07,Uber,63.17,Transport,Transport purchase at Uber
2025-12-07,Shell Gas Station,20.62,Transport,Transport purchase at Shell Gas Station
2025-12-09,Nike.com,131.12,Shopping,Shopping purchase at Nike.com
2025-12-09,Peoples Gas,165.48,Bills & Utilities,Bills & Utilities purchase at Peoples Gas
2025-12-13,Five Guys,36.09,Dining,Dining purchase at Five Guys
2025-12-13,Jewel-Osco,166.18,Groceries,Groceries purchase at Jewel-Osco
2025-12-13,Lyft,31.98,Transport,Transport purchase at Lyft
2025-12-13,Chevron,41.42,Transport,Transport purchase at Chevron
2025-12-14,Amazon,150.38,Shopping,Shopping purchase at Amazon
2025-12-14,Chevron,31.8,Transport,Transport purchase at Chevron
2025-12-16,CVS Pharmacy,61.69,Health & Fitness,Health & Fitness purchase at CVS Pharmacy
2025-12-16,Trader Joes,161.12,Groceries,Groceries purchase at Trader Joes
2025-12-17,Chevron,57.11,Transport,Transport purchase at Chevron
2025-12-18,Chick-fil-A,29.2,Dining,Dining purchase at Chick-fil-A
2025-12-18,Walmart,153.42,Groceries,Groceries purchase at Walmart
2025-12-18,Best Buy,273.35,Shopping,Shopping purchase at Best Buy
2025-12-18,LA Fitness,32.89,Health & Fitness,Health & Fitness purchase at LA Fitness
2025-12-19,Uber,30.19,Transport,Transport purchase at Uber
2025-12-20,Hertz Rental,316.95,Travel,Travel purchase at Hertz Rental
